,region_center_ap,region_id,survival_days,sex,paxinos_flatmap_x,id,display_name,title,section,case_id,section_y,section_x,status,a,region_name,memo,hemisphere,injection_id,flatmap_y,flatmap_x,dob,h,region,l,case_memo,paxinos_flatmap_y,action,perfusion_date,injection_date,tracer
0,-19.5,2645,14.0,M,-19.18,369,CJ71NM,cj71nm-dy-r2b,r2b,CJ71NM,10.251961,6.606863,Hidden,19.717,Area 10 of cortex,"DY injection at the apex of the frontal pole, contained within area 10. Manual reconstruction illustrated in Figure 6 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).",R,CJ71NM-DY,-2.53171812336327,-18.1064718040308,2005-01-31,11.12,A10,1.512,Animal was part of a study centred on the connections of the frontal pole cortex.,-3.76,https://www.marmosetbrain.org/goto/CJ71NM/r2b/6.606863/10.251961/3,2006-08-08,2006-07-25,DY
1,-19.5,2645,11.0,M,,195,CJ70,cj70x-dy-r2c,r2c,CJ70X,10.999337,12.760412,Active,19.7,Area 10 of cortex,DY injection at the apex of the frontal pole (area 10). Manual reconstruction of this case has been illustrated in Figure 7 of Burman et al. 2011 (Cereb Cortex 21:1712-1737).,R,CJ70-DY,-4.41843938827515,-18.2272205352783,2004-12-03,11.7,A10,1.1,"This animal was part of a study on the connections of prefrontal cortex. It received 4 injections, but the FE injection in the rostral part of area 47L resulted in too few labeled neurones, hence not being suitable for quantitative analyses. ",,https://www.marmosetbrain.org/goto/CJ70X/r2c/12.760412/10.999337/3,2006-04-10,2006-03-30,DY
2,-19.5,2645,14.0,M,-17.86,368,CJ71NM,cj71nm-fb-r2d,r2d,CJ71NM,9.948791,7.459604,Hidden,19.525,Area 10 of cortex,FB injection in the lateral part of the frontopolar cortex (area 10). Manual reconstruction illustrated in Figure 8 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).,R,CJ71NM-FB,-1.89660786030852,-17.1078527200337,2005-01-31,11.397,A10,3.04,Animal was part of a study centred on the connections of the frontal pole cortex.,-2.7399999999999984,https://www.marmosetbrain.org/goto/CJ71NM/r2d/7.459604/9.948791/3,2006-08-08,2006-07-25,FB
3,-19.5,2645,14.0,M,,182,CJ71,cj71r-dy-r2b,r2b,CJ71R,10.251961,6.606863,Active,19.5,Area 10 of cortex,"DY injection at the apex of the frontal pole, contained within area 10. Manual reconstruction illustrated in Figure 6 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).",R,CJ71-DY,-4.54798984527588,-18.6933345794678,2005-01-31,11.0799995065,A10,1.2400001407,Animal was part of a study centred on the connections of the frontal pole cortex.,,https://www.marmosetbrain.org/goto/CJ71R/r2b/6.606863/10.251961/3,2006-08-08,2006-07-25,DY
4,-19.5,2645,,M,,356,CJ071R,cj071r-dy-r2b,r2b,CJ071R,10.251961,6.606863,Hidden,19.5,Area 10 of cortex,,R,CJ071R-DY,-4.43087387084961,-18.7189636230469,,11.0799995065,A10,1.2400001407,,,https://www.marmosetbrain.org/goto/CJ071R/r2b/6.606863/10.251961/3,,,DY
5,-19.5,2645,,M,,355,CJ071R,cj071r-fb-r2d,r2d,CJ071R,9.948791,7.459604,Hidden,19.0,Area 10 of cortex,,R,CJ071R-FB,-3.25270676612854,-17.9619922637939,,11.4799994931,A10,3.040000096,,,https://www.marmosetbrain.org/goto/CJ071R/r2d/7.459604/9.948791/3,,,FB
6,-19.5,2645,14.0,M,,181,CJ71,cj71r-fb-r2d,r2d,CJ71R,9.948791,7.459604,Active,19.0,Area 10 of cortex,FB injection in the lateral part of the frontopolar cortex (area 10). Manual reconstruction illustrated in Figure 8 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).,R,CJ71-FB,-3.41121101379395,-17.9818115234375,2005-01-31,11.4799994931,A10,3.040000096,Animal was part of a study centred on the connections of the frontal pole cortex.,,https://www.marmosetbrain.org/goto/CJ71R/r2d/7.459604/9.948791/3,2006-08-08,2006-07-25,FB
7,-19.5,2645,14.0,M,-18.7,364,CJ73NM,cj73nm-fr-r4b,r4b,CJ73NM,12.155771,14.066544,Hidden,18.6,Area 10 of cortex,FR injection along the medial surface of the frontopolar cortex (area 10). Manual reconstruction illustrated in Figure 4 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).,R,CJ73NM-FR,-3.99474710370687,-18.2532817842431,2005-10-15,10.777,A10,1.027,This animal was part of a study on the connections of the rostral prefrontal cortex. It had 4 tracer injections. ,-5.559999999999999,https://www.marmosetbrain.org/goto/CJ73NM/r4b/14.066544/12.155771/3,2007-03-27,2007-03-13,FR
8,-19.5,2645,14.0,M,,189,CJ73,cj73x-fr-r4b,r4b,CJ73X,12.155771,14.066544,Active,18.5,Area 10 of cortex,FR injection along the medial surface of the frontopolar cortex (area 10). Manual reconstruction illustrated in Figure 4 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).,R,CJ73-FR,-5.87409687042236,-18.0805053710937,2005-10-15,11.0,A10,1.0,This animal was part of a study on the connections of the rostral prefrontal cortex. It had 4 tracer injections. ,,https://www.marmosetbrain.org/goto/CJ73X/r4b/14.066544/12.155771/3,2007-03-27,2007-03-13,FR
9,-19.5,2645,18.0,F,,147,CJ178,cj178-ctbr-r3a,r3a,CJ178,8.595947,6.268528,Active,18.2,Area 10 of cortex,The CTB-red injection was located in the most caudal part of area 10 (frontopolar cortex).,R,CJ178-CTBr,-4.24682760238647,-16.6866970062256,2014-07-06,12.8,A10,2.2,"This animal was part of a study of prefrontal cortex connections, but also had an attempted injection in the peripheral representation of V1.",,https://www.marmosetbrain.org/goto/CJ178/r3a/6.268528/8.595947/3,2016-10-21,2016-10-03,CTBr
10,-19.5,2645,18.0,F,,150,CJ178,cj178-ctbgr-r3a,r3a,CJ178,8.833711,7.20018,Active,18.2,Area 10 of cortex,"The CTB-green injection was located in the most caudal part of area 10 (frontopolar cortex). It may have invaded area 46 to a slight extent, particularly in the infragranular layers (e.g. section r4a).",R,CJ178-CTBgr,-3.39626216888428,-16.5139102935791,2014-07-06,12.5,A10,3.3,"This animal was part of a study of prefrontal cortex connections, but also had an attempted injection in the peripheral representation of V1.",,https://www.marmosetbrain.org/goto/CJ178/r3a/7.20018/8.833711/3,2016-10-21,2016-10-03,CTBgr
11,-17.5,2653,11.0,M,,194,CJ70,cj70x-fe-r6a,r6a,CJ70X,11.367798,19.966862,Hidden,18.0,"Area 47 (old 12) of cortex, lateral part",FE injection not displayed,R,CJ70-FE,-1.62273061275482,-15.5494050979614,2004-12-03,12.1999994814,A47L(12L),5.56,"This animal was part of a study on the connections of prefrontal cortex. It received 4 injections, but the FE injection in the rostral part of area 47L resulted in too few labeled neurones, hence not being suitable for quantitative analyses. ",,https://www.marmosetbrain.org/goto/CJ70X/r6a/19.966862/11.367798/3,2006-04-10,2006-03-30,FE
12,-17.5,2653,14.0,M,-16.0,367,CJ71NM,cj71nm-fr-r5b,r5b,CJ71NM,10.203731,8.949388,Hidden,17.573,"Area 47 (old 12) of cortex, lateral part",FR injection in the rostral part of area 47L (12L). Minimal to no invasion of adjacent areas.,R,CJ71NM-FR,-0.991422689200542,-15.118773667269,2005-01-31,11.727,A47L(12L),5.072,Animal was part of a study centred on the connections of the frontal pole cortex.,-1.9600000000000009,https://www.marmosetbrain.org/goto/CJ71NM/r5b/8.949388/10.203731/3,2006-08-08,2006-07-25,FR
13,-17.5,2653,14.0,M,-15.34,363,CJ73NM,cj73nm-fb-r7b,r7b,CJ73NM,11.313854,18.932493,Hidden,17.51,"Area 47 (old 12) of cortex, lateral part","Registration of the FB injection data to the Paxinos et al. (2012) atlas template indicates that it was located near the junction of areas 47L (12L) and 46V, with the majority of the injection being in 47L. This assessment is supported by the complex pattern of label that probably includes afferents to both areas. Results from this injection were shown in Figures 9 and 10 of Burman et al. 2011 (Cereb Cortex 21:1712--1737) as being assigned to area 46; this pre-dates the more comprehensive analysis of the frontal lobe cytoarchitecture by Paxinos et al, (2012).",R,CJ73NM-FB,-1.33289536949538,-14.6072457226449,2005-10-15,12.365,A47L(12L),5.451,This animal was part of a study on the connections of the rostral prefrontal cortex. It had 4 tracer injections. ,-2.0799999999999983,https://www.marmosetbrain.org/goto/CJ73NM/r7b/18.932493/11.313854/3,2007-03-27,2007-03-13,FB
14,-17.5,2653,,M,,354,CJ071R,cj071r-fr-r5b,r5b,CJ071R,10.178256,8.764117,Hidden,17.5,"Area 47 (old 12) of cortex, lateral part",,R,CJ071R-FR,-1.39423859119415,-15.7229471206665,,11.7599994913,A47L(12L),5.4000000387,,,https://www.marmosetbrain.org/goto/CJ071R/r5b/8.764117/10.178256/3,,,FR
15,-17.5,2653,14.0,M,,180,CJ71,cj71r-fr-r5b,r5b,CJ71R,10.203731,8.949388,Active,17.5,"Area 47 (old 12) of cortex, lateral part",FR injection in the rostral part of area 47L (12L); no apparent invasion of adjacent areas.,R,CJ71-FR,-1.52971160411835,-15.5763578414917,2005-01-31,11.7599994913,A47L(12L),5.4000000387,Animal was part of a study centred on the connections of the frontal pole cortex.,,https://www.marmosetbrain.org/goto/CJ71R/r5b/8.949388/10.203731/3,2006-08-08,2006-07-25,FR
16,-17.5,2653,7.0,M,-14.8,375,CJ800NM,cj800nm-fb-r9b,r9b,CJ800NM,9.211741,17.35913,Hidden,17.203,"Area 47 (old 12) of cortex, lateral part","The FB injection was small and restricted to layers 1, 2 and upper 3. It was centred in the rostral part of area 47L, with possible involvement of area 8aV. However the absence of label in visual cortex suggests that 8aV was not part of the effective injection site.",R,CJ800NM-FB,-1.49166420253349,-14.2295223379441,2013-11-16,12.907,A47L(12L),5.715,"This animal had 4 injections in the frontal lobe. The cytoarchitectural analysis used the NeuN stain. The results in this case are not particularly clear at low power due to low differentiation, but the stain was successful and cytoarchitectural features can be analysed at high magnification. ",-1.6600000000000001,https://www.marmosetbrain.org/goto/CJ800NM/r9b/17.35913/9.211741/3,2016-08-22,2016-08-15,FB
17,-17.5,2653,17.0,M,-15.100000000000001,373,CJ181NM,cj181nm-dy-r4c,r4c,CJ181NM,9.113052,8.394102,Hidden,17.115,"Area 47 (old 12) of cortex, lateral part",The DY injection involved all layers of the rostral part of area 47L. Little to no involvement of area 46V by the halo.,R,CJ181NM-DY,-1.00465190928178,-14.5133161020292,2014-09-26,11.91,A47L(12L),5.547,"This animal had 2 sets of injections, in the prefrontal cortex and temporal lobe.",-1.6600000000000001,https://www.marmosetbrain.org/goto/CJ181NM/r4c/8.394102/9.113052/3,2016-12-15,2016-11-28,DY
18,-17.5,2653,,F,-14.98,296,CJ215,cj215-ctbr-r8b,r8b,CJ215,10.517619,18.001987,Hidden,17.109,"Area 47 (old 12) of cortex, lateral part",The CTB-red injection was contained in the area 47L (12L) of the  ventrolateral prefrontal cortex. The majority of the tracer was deposited in the supragranular layers,L,CJ215-CTBr,-0.397351306171627,-14.2288900452086,2018-01-03,11.297,A47L(12L),6.366,This animal had 4 effective tracer injections,-0.879999999999999,https://www.marmosetbrain.org/goto/CJ215/r8b/18.001987/10.517619/3,2021-07-13,2021-06-30,CTBr
19,-17.5,2653,14.0,M,,188,CJ73,cj73x-fb-r7b,r7b,CJ73X,11.313854,18.932493,Active,17.1,"Area 47 (old 12) of cortex, lateral part","Registration of the FB injection data to the Paxinos et al. (2012) atlas template indicates that it was located near the junction of areas 47L (12L), 8aV and 46V. This assessment is supported by the complex pattern of label that probably includes afferents to all 3 areas. Results from this injection were shown in Figures 9 and 10 of Burman et al. 2011 (Cereb Cortex 21:1712--1737) as being assigned to area 46; this pre-dates the more comprehensive analysis of the frontal lobe cytoarchitecture by Paxinos et al, (2012).",R,CJ73-FB,-1.69414412975311,-14.9319200515747,2005-10-15,12.4,A47L(12L),5.8,This animal was part of a study on the connections of the rostral prefrontal cortex. It had 4 tracer injections. ,,https://www.marmosetbrain.org/goto/CJ73X/r7b/18.932493/11.313854/3,2007-03-27,2007-03-13,FB
20,-17.5,2653,17.0,M,,137,CJ181,cj181-dy-r4c,r4c,CJ181,9.113052,8.394102,Active,17.0,"Area 47 (old 12) of cortex, lateral part",The DY injection involved all layers of area 47L. It was restricted to the rostral part of this area.,R,CJ181-DY,-1.70577371120453,-15.0662994384766,2014-09-26,12.0,A47L(12L),5.6,"This animal had 2 sets of injections, in the prefrontal cortex and temporal lobe.",,https://www.marmosetbrain.org/goto/CJ181/r4c/8.394102/9.113052/3,2016-12-15,2016-11-28,DY
