injection,url
CJ74-FR,http://www.marmosetbrain.org/goto/CJ74/r10b/18.240695/10.018852/3
CJ74-FB,http://www.marmosetbrain.org/goto/CJ74/r12b/14.202089/7.496548/3
CJ74-DY,http://www.marmosetbrain.org/goto/CJ74/r17b/13.145892/6.221157/3
CJ83-DY,http://www.marmosetbrain.org/goto/CJ83/r13b/13.859872268/8.0197317537/3
CJ94-FR,http://www.marmosetbrain.org/goto/CJ94/r20b/16.938263/4.878574/3
CJ94-FB,http://www.marmosetbrain.org/goto/CJ94/r21b/14.266991/3.926891/3
CJ94-DY,http://www.marmosetbrain.org/goto/CJ94/r16b/19.919154/9.406668/3
CJ108-FR,http://www.marmosetbrain.org/goto/CJ108/r11a/16.01400215/8.4492261/3
CJ108-FE,http://www.marmosetbrain.org/goto/CJ108/r10a/18.13455815/9.4560581/3
CJ110-FR,http://www.marmosetbrain.org/goto/CJ110/r17b/20.694165/10.69782/3
CJ110-FE,http://www.marmosetbrain.org/goto/CJ110/r17b/17.787454/8.35395/3
CJ111-FR,http://www.marmosetbrain.org/goto/CJ111/r21b/17.539583/6.877631/3
CJ111-FE,http://www.marmosetbrain.org/goto/CJ111/r20a/21.494174/11.490615/3
CJ112-FR,http://www.marmosetbrain.org/goto/CJ112/r20a/20.603325/11.071318/3
CJ112-FE,http://www.marmosetbrain.org/goto/CJ112/r20a/16.436793/7.725009/3
CJ113-FR,http://www.marmosetbrain.org/goto/CJ113/r26a/15.415339/4.866807/3
CJ113-FE,http://www.marmosetbrain.org/goto/CJ113/r19a/14.856582/8.121274/3
CJ78-FE,http://www.marmosetbrain.org/goto/CJ78/r26b/17.206604/5.731058/3
CJ78-FB,http://www.marmosetbrain.org/goto/CJ78/r28b/14.679852/3.238835/3
CJ78-DY,http://www.marmosetbrain.org/goto/CJ78/r28b/17.764082/4.630531/3
CJ51-DY,http://www.marmosetbrain.org/goto/CJ51/c20b/10.627526/7.709985/3
CJ50-FR,http://www.marmosetbrain.org/goto/CJ50/c23a/10.091746/8.759179/3
CJ50-DY,http://www.marmosetbrain.org/goto/CJ50/c26b/9.784201/6.970914/3
CJ56-FR,http://www.marmosetbrain.org/goto/CJ56/c24a/10.445815/8.640904/3
CJ56-FE,http://www.marmosetbrain.org/goto/CJ56/c18a/10.77965/10.36313/3
CJ56-FB,http://www.marmosetbrain.org/goto/CJ56/c21a/10.284174/8.919856/3
CJ56-DY,http://www.marmosetbrain.org/goto/CJ56/c20b/11.43143/10.139426/3
CJ164-DY,http://www.marmosetbrain.org/goto/CJ164/r6d/4.393103/6.765404/3
CJ164-FB,http://www.marmosetbrain.org/goto/CJ164/r8c/2.789522/6.993524/3
CJ164-CTBgr,http://www.marmosetbrain.org/goto/CJ164/r10c/2.51893/5.686565/3
CJ84-FB,http://www.marmosetbrain.org/goto/CJ84/c15a/2.940879/8.159193/3
CJ84-FE,http://www.marmosetbrain.org/goto/CJ84/c17a/2.660027/6.636487/3
CJ84-FR,http://www.marmosetbrain.org/goto/CJ84/c14c/2.696069/8.799726/3
CJ36-FB,http://www.marmosetbrain.org/goto/CJ36/s9a/26.125787/5.351218/3
CJ36-FR,http://www.marmosetbrain.org/goto/CJ36/s3a/27.54551/6.871928/3
CJ19-FR,http://www.marmosetbrain.org/goto/CJ19/m11c/23.518782/4.490025/3
CJ19-FE,http://www.marmosetbrain.org/goto/CJ19/m6a/19.565147/3.835041/3
CJ81-FR,http://www.marmosetbrain.org/goto/CJ81/c20b/16.409915/11.063851/3
CJ81-FE,http://www.marmosetbrain.org/goto/CJ81/c14b/20.137643/9.23822/3
CJ81-FB,http://www.marmosetbrain.org/goto/CJ81/c17b/16.323757/10.843116/3
CJ81-DY,http://www.marmosetbrain.org/goto/CJ81/c14b/16.385838/10.256023/3
CJ167-FR,http://www.marmosetbrain.org/goto/CJ167/r14c/2.425374/3.273963/3
CJ167-CTBgr,http://www.marmosetbrain.org/goto/CJ167/r12a/3.162117/3.026366/3
CJ167-FB,http://www.marmosetbrain.org/goto/CJ167/r13b/2.694762/3.07883/3
CJ167-DY,http://www.marmosetbrain.org/goto/CJ167/r15d/2.459146/2.836699/3
CJ82-FR,http://www.marmosetbrain.org/goto/CJ82/c14b/12.925815/10.715695/3
CJ82-FE,http://www.marmosetbrain.org/goto/CJ82/c6b/15.932809/8.389012/3
CJ82-DY,http://www.marmosetbrain.org/goto/CJ82/c18a/13.20135/11.529529/3
CJ76-FB,http://www.marmosetbrain.org/goto/CJ76/c27b/12.130856/8.574002/3
CJ76-FE,http://www.marmosetbrain.org/goto/CJ76/c39b/14.423634/6.87727/3
CJ76-FR,http://www.marmosetbrain.org/goto/CJ76/c30b/14.235158/8.396168/3
CJ76-DY,http://www.marmosetbrain.org/goto/CJ76/c36b/12.36322/6.509968/3
CJ122-FB,http://www.marmosetbrain.org/goto/CJ122/r37b/22.330317/11.167593/3
CJ122-FR,http://www.marmosetbrain.org/goto/CJ122/r33a/22.565895/11.121442/3
CJ122-FE,http://www.marmosetbrain.org/goto/CJ122/r38b/22.596129/9.731634/3
CJ122-DY,http://www.marmosetbrain.org/goto/CJ122/r28b/22.693085/11.222008/3
CJ55-FB,http://www.marmosetbrain.org/goto/CJ55/c22a/12.574004/7.057388/3
CJ55-FE,http://www.marmosetbrain.org/goto/CJ55/c21a/7.006872/6.795428/3
CJ55-FR,http://www.marmosetbrain.org/goto/CJ55/c24a/9.39893/5.474688/3
CJ55-DY,http://www.marmosetbrain.org/goto/CJ55/c24b/10.811383/7.028554/3
CJ21-FB,http://www.marmosetbrain.org/goto/CJ21/9b/23.553406/3.400095/3
CJ21-DY,http://www.marmosetbrain.org/goto/CJ21/12c/24.739941/3.96215/3
CJ170-FB,http://www.marmosetbrain.org/goto/CJ170/r15d/3.620404/3.405127/3
CJ170-CTBgr,http://www.marmosetbrain.org/goto/CJ170/r17a/8.53331/6.313959/3
CJ170-CTBr,http://www.marmosetbrain.org/goto/CJ170/r15d/6.336935/4.271452/3
CJ170-DY,http://www.marmosetbrain.org/goto/CJ170/r9d/2.792098/3.60393/3
CJ174-FB,http://www.marmosetbrain.org/goto/CJ174/c5a/5.879865/11.007839/3
