snr	name	segmented	changed	stable%
1	r1a.png	3817	56	98%
2	r1b.png	3830	72	98%
3	r2a.png	3866	157	95%
4	r2b.png	3832	100	97%
5	r3a.png	4854	107	97%
6	r3b.png	5769	153	97%
7	r4a.png	6571	225	96%
8	r4b.png	7230	215	97%
9	r5a.png	7564	80	98%
10	r5b.png	8111	376	95%
11	r6a.png	8565	109	98%
12	r6b.png	9233	436	95%
13	r7a.png	9840	298	96%
14	r7b.png	10414	412	96%
15	r8a.png	10991	512	95%
16	r8b.png	11455	520	95%
17	r9a.png	11989	444	96%
18	r9b.png	12461	462	96%
19	r10a.png	12865	305	97%
20	r10b.png	13296	434	96%
21	r11a.png	13602	96	99%
22	r11b.png	14168	636	95%
23	r12a.png	14515	291	97%
24	r12b.png	15004	549	96%
25	r13a.png	15292	572	96%
26	r13b.png	15501	330	97%
27	r14a.png	15732	309	98%
28	r14b.png	16024	302	98%
29	r15a.png	16511	979	94%
30	r15b.png	16509	435	97%
31	r16a.png	16570	576	96%
32	r16b.png	16643	678	95%
33	r17a.png	17005	1169	93%
34	r17b.png	16906	540	96%
35	r18a.png	16851	504	97%
36	r18b.png	16938	604	96%
37	r19a.png	16858	537	96%
38	r19b.png	16811	654	96%
39	r20a.png	16389	865	94%
40	r20b.png	15992	493	96%
41	r21a.png	16009	544	96%
42	r21b.png	16717	129	99%
43	r22a.png	18368	1176	93%
44	r22b.png	19270	446	97%
45	r23a.png	20576	243	98%
46	r23b.png	23842	1453	93%
47	r24a.png	25493	652	97%
48	r24b.png	26413	564	97%
49	r25a.png	26565	847	96%
50	r25b.png	24324	624	97%
51	r26a.png	23855	622	97%
52	r26b.png	23690	910	96%
53	r27a.png	23463	1082	95%
54	r27b.png	23948	1341	94%
55	r28a.png	24061	668	97%
56	r28b.png	24120	392	98%
57	r29a.png	24276	531	97%
58	r29b.png	24794	1301	94%
59	r30a.png	24811	481	98%
60	r30b.png	24967	243	99%
61	r31a.png	25228	1049	95%
62	r31b.png	25364	906	96%
63	r32a.png	25389	372	98%
64	r32b.png	25636	1217	95%
65	r33a.png	25275	797	96%
66	r33b.png	25325	920	96%
67	r34a.png	25032	336	98%
68	r34b.png	25161	294	98%
69	r34b.png	25162	260	98%
70	c44a.png	25244	957	96%
71	c43b.png	25108	1124	95%
72	c43a.png	25080	415	98%
73	c42b.png	25209	1130	95%
74	c42a.png	24988	1206	95%
75	c41b.png	24889	1241	95%
76	c41a.png	24631	795	96%
77	c40b.png	24408	56	99%
78	c40a.png	24228	229	99%
79	c39b.png	24360	982	95%
80	c39a.png	24034	281	98%
81	c38b.png	23923	754	96%
82	c38a.png	23537	266	98%
83	c37b.png	23556	1275	94%
84	c37a.png	23523	294	98%
85	c36b.png	23997	1119	95%
86	c36a.png	23970	488	97%
87	c35b.png	23715	708	97%
88	c35a.png	24127	1167	95%
89	c34b.png	24314	1254	94%
90	c34a.png	24439	1016	95%
91	c33b.png	24452	1348	94%
92	c33a.png	24515	844	96%
93	c32b.png	24559	654	97%
94	c32a.png	24723	312	98%
95	c31b.png	25425	1524	94%
96	c31a.png	26575	243	99%
97	c30b.png	28131	927	96%
98	c30a.png	28271	731	97%
99	c29b.png	28463	1451	94%
100	c29a.png	28246	1536	94%
101	c28b.png	27849	322	98%
102	c28a.png	28897	1232	95%
103	c27b.png	29161	871	97%
104	c27a.png	29236	1745	94%
105	c26b.png	28184	190	99%
106	c26a.png	27538	91	99%
107	c25b.png	27511	1290	95%
108	c25a.png	26656	365	98%
109	c24b.png	26713	837	96%
110	c24a.png	25973	713	97%
111	c23b.png	25840	1177	95%
112	c23a.png	24939	99	99%
113	c22b.png	25084	1009	95%
114	c22a.png	24606	698	97%
115	c21b.png	24079	40	99%
116	c21a.png	24390	1082	95%
117	c20b.png	24034	914	96%
118	c20a.png	23819	484	97%
119	c19b.png	23687	392	98%
120	c19a.png	23828	1020	95%
121	c18b.png	23624	852	96%
122	c18a.png	23260	467	97%
123	c17b.png	23335	999	95%
124	c17a.png	22972	875	96%
125	c16b.png	22933	1015	95%
126	c16a.png	22472	419	98%
127	c15b.png	22215	345	98%
128	c15a.png	22061	759	96%
129	c14b.png	21560	104	99%
130	c14a.png	21676	686	96%
131	c13b.png	21500	871	95%
132	c13a.png	21084	357	98%
133	c12b.png	20948	380	98%
134	c12a.png	21172	1222	94%
135	c11b.png	20471	183	99%
136	c11a.png	20630	664	96%
137	c10b.png	20446	932	95%
138	c10a.png	19811	175	99%
139	c9b.png	19656	640	96%
140	c9a.png	19514	810	95%
141	c8b.png	18906	164	99%
142	c8a.png	18723	764	95%
143	c7b.png	17802	346	98%
144	c7a.png	17377	259	98%
145	c6b.png	16889	369	97%
146	c6a.png	15861	309	98%
147	c5b.png	15044	357	97%
148	c5a.png	14167	199	98%
149	c4b.png	12987	105	99%
150	c4a.png	12794	235	98%
151	c3b.png	11939	111	99%
152	c3a.png	10301	211	97%
153	c2b.png	10263	82	99%
154	c2a.png	10272	113	98%
155	c1b.png	10287	154	98%
156	c1a.png	10310	187	98%
